Id,Headline,Political,Sensationalism,Framing,Stereotyping
37,स्थानीय तहको विवरण: फोहोरले नदीको अवस्था भयावह बनेको बताउँदै चेतावनी,0,1,0,0
38,"नयाँ तथ्य सार्वजनिक: सम्बन्धित निकायका अनुसार, होटलमा पाहुना नआएपछि व्यवसायी निराश",0,0,0,0
39,घटनाक्रममा सरकारले कृषि उपजको न्यूनतम समर्थन मूल्य तोक्यो ,0,0,0,0
40,"घटनाक्रममा नयाँ निर्णयसँगै, कलाकारलाई आलोचना सहन नसक्ने बताउँदै सामाजिक सञ्जालमा टिप्पणी",0,0,1,0
41,"यसैबीच, सम्बन्धित निकायका अनुसार, राहत ढिलो पुगेपछि पीडितको आक्रोश चुलियो",0,1,1,0
42,पछिल्लो घटनाक्रम: पर्यटकको भीडले प्रमुख गन्तव्यमा मच्चियो ठूलो हलचल ,0,1,0,0
43,पछिल्लो घटनाक्रम: युवा पुस्ता मेहनत गर्नै नचाहने टिप्पणीप्रति आलोचना ,0,0,1,0
44,"बैठकपछि, कारखाना बन्द हुँदा मजदुर परिवारको आम्दानी रोकियो",0,0,0,0
45,स्वास्थ्य क्षेत्रमा सुधारका लागि सरोकारवालाबीच छलफल,0,0,0,0
46,धार्मिक स्थलमा भक्तजनको ठूलो भीड ,0,0,0,0
47,संविधान संशोधनको मुद्दा फेरि एकपटक संसद्मा चर्को बहसको विषय,0,0,0,0
48,"स्थानीय तहमा सम्बन्धित निकायका अनुसार, भूकम्प जोखिम भएका भवनको प्राविधिक परीक्षण सुरु,",0,0,0,0
49,"निर्णयपछि घटनापछि, सांस्कृतिक महोत्सवले शहरमा पर्यटक आकर्षित गर्‍यो",0,0,0,0
50,"सम्बन्धित निकायका अनुसार, विपद्मा स्थानीय युवाले उद्धारमा सक्रियता देखाए",0,0,0,0
51,किसानले उचित मूल्य नपाएको बताउँदै बजारमा विरोध गरे,0,0,1,0
52,"घटनाक्रममा छलफलपछि, प्रहरीले साइबर अपराधविरुद्ध विशेष अभियान सुरु गर्‍यो",0,0,1,0
53,"पछिल्लो घटनाक्रम: स्थानीय विवरणअनुसार, सार्वजनिक यातायातको नयाँ रुटले यात्राको समय घटायो",0,0,0,0
54,"सम्बन्धित निकायका अनुसार, कामदारहरू मेहनतबाट टाढिँदै गएको दाबीप्रति ट्रेड युनियनको आपत्ति",0,0,0,0
55,अनुगमनको क्रममा सरकारले नयाँ पर्यटन वर्षका लागि प्रचार अभियान सुरु गर्‍यो ,0,0,0,0
56,"अनुगमनपछि, विपक्षी दलले यातायात नीति असफल भएको आरोप लगायो",1,0,1,0
57,"सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए, प्रभावबारे विज्ञले अध्ययन आवश्यक बताएका छन् जनाइएको छ",0,0,0,0
58,नयाँ तथ्य सार्वजनिक: प्रहरीको कारबाहीलाई स्थानीयले प्रभावकारी भने ,0,0,0,0
59,"पछिल्लो घटनाक्रम: स्थानीय विवरणअनुसार, कलाकारलाई आलोचना सहन नसक्ने बताउँदै सामाजिक सञ्जालमा टिप्पणी",0,0,1,0
60,पछिल्लो घटनामा विद्यालयमा विज्ञान प्रयोगशाला स्थापना भएपछि विद्यार्थी उत्साहित ,0,0,0,0
61,"स्थानीय तहमा नयाँ निर्णयसँगै, बैंकले ग्रामीण क्षेत्रमा शाखा विस्तार गर्ने घोषणा,",0,0,0,0
62,"स्थानीय तहमा धारामा पानी नआएपछि स्थानीय महिलाले विरोध बताए ,",0,0,1,0
63,अनुगमनको क्रममा सिँचाइ सुविधा पुगेपछि बाँझो जमिनमा खेती सुरु ,0,0,0,0
64,"अनुगमनको क्रममा सम्बन्धित निकायका अनुसार, सरकारले कृषि उपजको न्यूनतम समर्थन मूल्य तोक्यो",0,0,0,0
65,कर बढेपछि उद्योगीले सरकारी नीतिप्रति असन्तुष्टि बताए ,1,0,1,0
66,"देशैभरि फैलिएको डढेलो नियन्त्रण बाहिर, लाखौं हेक्टर वनक्षेत्र नष्ट",0,0,0,0
67,"स्थानीय विवरणअनुसार, संसद्मा यातायात विधेयकमाथि चर्को विवाद",0,0,0,0
68,घटनाक्रममा विद्युत् महसुल बढाउने प्रस्तावप्रति उपभोक्ता असन्तुष्ट ,0,0,0,0
69,घटनाक्रममा वन्यजन्तु संरक्षण बजेट कटौतीप्रति अभियन्ताको विरोध ,0,0,1,0
70,कर्मचारीहरू का मानिसहरू संसद् बैठक बाट सबैभन्दा बढी प्रभावित हुने दाबी,0,0,0,0
71,अचानक आएको भूकम्पले पुराना घरमा ठूलो क्षति ,0,1,0,0
72,स्टार्टअप व्यवसायलाई प्रोत्साहन गर्न सरकारद्वारा सस्तो ब्याजमा ऋण प्रवाह,0,0,0,0
73,आकस्मिक सेवामा ढिलाइ हुँदा बिरामीको अवस्था गम्भीर ,0,0,0,0
74,"सम्बन्धित निकायका अनुसार, लामो विद्युत् अवरोधले उद्योगमा ठूलो क्षति",0,0,0,0
75,"छलफलपछि, औषधि नपाउँदा बिरामीका आफन्तले आकस्मिक विरोध गरे",0,0,1,0
76,"नयाँ तथ्य सार्वजनिक: स्थानीय विवरणअनुसार, कामदारमाथि अन्याय भएको बताउँदै उद्योग अगाडि प्रदर्शन",0,0,0,0
77,सरकारको स्वास्थ्य योजना सफल हुने मन्त्रीको दाबी,0,0,0,0
78,"पछिल्लो घटनाक्रम: घटनापछि, भूकम्प जोखिम भएका भवनको प्राविधिक परीक्षण सुरु",0,0,0,0
79,"अनुगमनको क्रममा पछिल्लो विवरणअनुसार, सरकारले स्थानीय स्वास्थ्य केन्द्रमा प्रयोगशाला सेवा विस्तार गर्ने निर्णय गर्‍यो",0,0,0,0
80,"नयाँ निर्णयसँगै, धारामा पानी नआएपछि स्थानीय महिलाले विरोध बताए",0,0,1,0
81,कर्मचारीहरू को व्यवहारलाई ऊर्जा परियोजना सँग जोडेर गरिएको टिप्पणी विवादमा,0,0,0,0
82,"किसानले उत्पादनको उचित मूल्य मागे, सम्बन्धमा थप छलफल सुरु",0,0,0,0
83,"पछिल्लो घटनामा पछिल्लो विवरणअनुसार, मोबाइल बैंकिङ बन्द हुँदा ग्राहकमा ठूलो अन्योल",0,0,0,0
84,"घटनापछि, सार्वजनिक यातायातमा महिलाको सुरक्षाबारे नयाँ अध्ययन",0,0,0,0
85,"अनुगमनपछि, कर बढेपछि उद्योगीले सरकारी नीतिप्रति असन्तुष्टि बताए",1,0,1,0
86,"सम्बन्धित निकायका अनुसार, पानीको अभावले महिलाको दैनिक श्रम बढेको अध्ययनको निष्कर्ष",0,0,0,0
87,सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी — आगामी चरणमा समीक्षा गरिने,0,0,0,0
88,निर्णयपछि अपराध बढेपछि शहरमा सुरक्षा चिन्ता ,0,0,0,0
89,सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी : समस्या समाधान गर्न पहल थालिएको छ,0,0,0,0
90,"घटनाक्रममा नयाँ निर्णयसँगै, सीमानाकामा सुरक्षा जाँच कडा पारियो",0,0,0,0
91,"यसैबीच, बैठकपछि, पर्यटकको भीडले प्रमुख गन्तव्यमा मच्चियो ठूलो चहलपहल",0,1,0,0
92,पछिल्लो घटनाक्रम: बेरोजगारी बढेपछि युवामा भविष्यबारे चिन्ता ,0,0,0,0
93,अनलाइन ठगी बढेपछि ग्राहकमा ठूलो त्रास ,0,1,0,0
94,"यसैबीच, सम्बन्धित निकायका अनुसार, अस्पतालको लामो लाइनले सेवाग्राहीलाई हैरान बनायो",0,0,0,0
95,"नयाँ तथ्य सार्वजनिक: स्थानीय विवरणअनुसार, अत्यधिक वर्षाले खेत डुबाउँदा किसान निराश",0,0,0,0
96,"पछिल्लो विवरणअनुसार, टोलीको लगातार हारपछि प्रशिक्षकमाथि दबाब",0,0,0,0
97,"स्थानीय विवरणअनुसार, उडान रद्द हुँदा विमानस्थलमा यात्रुको बिचल्ली",0,0,0,0
98,"कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो, स्थानीय तहलाई आवश्यक निर्देशन दिइएको छ का लागि पहल",0,0,0,0
99,सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए — भोलिदेखि लागू गर्ने तयारी,0,0,0,0
100,"स्थानीय विवरणअनुसार, प्रहरीले साइबर अपराधविरुद्ध विशेष अभियान सुरु गरेको छ",0,0,1,0
101,"स्थानीय तहमा बैठकपछि, युवा कलाकारलाई अवसर नदिएको भन्दै आयोजकमाथि प्रश्न,",0,0,1,0
102,आलोचनापछि सार्वजनिक यातायात सुधार भन्दै आलोचकको प्रतिक्रिया,0,0,1,0
103,"पछिल्लो विवरणअनुसार, विद्युत् महसुल बढाउने प्रस्तावप्रति उपभोक्ता असन्तुष्ट",0,0,0,0
104,"कर नीति ले ल्यायो ठूलो बहस, सामाजिक सञ्जालमा चर्चा!",0,0,0,0
105,"किसानले उत्पादनको उचित मूल्य मागे, आगामी चरणमा समीक्षा गरिने बताइएको छ",0,0,0,0
106,युवाहरूको पहलले गाउँका विद्यार्थीलाई अध्ययनमा सहयोग,0,0,0,0
107,उडान रद्द हुँदा विमानस्थलमा यात्रुको बिचल्ली,0,0,0,0
108,सीमावर्ती बजारमा तस्करी नियन्त्रणका लागि संयुक्त गस्ती,0,0,0,0
109,"यसैबीच, घटनापछि, निर्वाचन आयोगले मतदाता नामावली अद्यावधिक गर्न आग्रह गर्‍यो",0,0,0,0
110,"कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो, समस्या समाधान गर्न पहल थालिएको छ",0,0,0,0
111,"स्थानीय तहमा नयाँ निर्णयसँगै, उपभोक्ताले गुणस्तरहीन सामान बिक्री भइरहेको असन्तुष्टि गरे,",0,0,1,0
112,"स्थानीय विवरणअनुसार, परीक्षा प्रश्नपत्र चुहावटको खबरले शैक्षिक क्षेत्रमा हलचल",0,0,0,0
113,प्रवासी श्रमिकहरू का मानिसहरू कृषि कार्यक्रम बाट सबैभन्दा बढी प्रभावित हुने दाबी,0,0,0,1
114,"नयाँ निर्णयसँगै, सरकारले स्वास्थ्य बीमा सेवा सबै जिल्लामा पुर्‍याउने लक्ष्य राख्यो",0,0,0,0
115,निर्णयपछि केन्द्रीय बैंकले मौद्रिक नीतिमा केही व्यवस्था परिवर्तन गर्‍यो ,0,0,0,0
116,नयाँ तथ्य सार्वजनिक: विद्यार्थीहरू पढाइमा ध्यानै नदिने भएको आरोप सामाजिक सञ्जालमा ,0,0,0,0
117,अनुगमनको क्रममा साइबर अपराधीको गिरोह सक्रिय भएको भन्दै त्रास ,0,1,1,0
118,हिमाल पग्लिने क्रम तीव्र हुँदा तल्लो तटीय क्षेत्रमा बाढीको खतरा,0,0,0,0
119,"पछिल्लो घटनाक्रम: सम्बन्धित निकायका अनुसार, अनलाइन ठगीको जालो फैलिँदा सर्वसाधारण त्रसित",0,0,0,0
120,सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी — सरोकारवालासँग परामर्श जारी,0,0,0,0
121,"सम्बन्धित निकायका अनुसार, खानेपानी नआएपछि स्थानीयको धैर्यको बाँध टुट्यो",0,0,0,0
122,पछिल्लो घटनाक्रम: धान उत्पादन बढेपछि किसानमा उत्साह ,0,0,0,0
123,युवा रोजगारी कार्यक्रम असफल भएको विपक्षीको आरोप,0,0,0,0
124,"नयाँ निर्णयसँगै, विमानस्थल व्यवस्थापनमा लापरबाही भएको यात्रुको आरोप",0,0,0,0
125,विपद् व्यवस्थापनमा सरकारको तयारी कमजोर भएको दाबी ,0,0,1,0
126,कर्मचारीहरू ले स्वास्थ्य योजना बारे एउटै धारणा राख्ने भनाइ सार्वजनिक,0,0,0,0
127,स्थानीय तहको विवरण: ठगीको खबर फैलिएपछि सामाजिक सञ्जालमा हल्ला ,0,0,0,0
128,"पछिल्लो घटनामा पछिल्लो विवरणअनुसार, विद्युत् प्राधिकरणले मर्मतपछि आपूर्ति सामान्य भएको जनाएको छ",0,0,0,0
129,पछिल्लो घटनाक्रम: विपक्षी दलले स्वास्थ्य बजेट अपर्याप्त भएको भन्दै सरकारको आलोचना गर्‍यो ,1,0,1,0
130,"यसैबीच, भवन निर्माणमा मापदण्ड पालना नगरेको दाबी ",0,0,0,0
131,"नयाँ निर्णयसँगै, ट्याक्सी चालकले नयाँ नियमप्रति असन्तुष्टि जनाए",0,0,1,0
132,किसानलाई उचित मूल्य नदिएको भन्दै व्यापारीविरुद्ध असन्तुष्टि ,0,0,1,0
133,"नेताहरूका छोराछोरी विदेशमा, गरिबका छोराछोरीलाई स्वदेशमै भविष्य अन्धकार",0,0,0,0
134,"घटनाक्रममा अनुगमनपछि, विपद् व्यवस्थापनमा सरकारको तयारी कमजोर भएको दाबी",0,0,1,0
135,"सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए, भोलिदेखि लागू गर्ने तयारी बताइएको छ",0,0,0,0
136,घटनाक्रममा सत्तारूढ दलभित्र नेतृत्व परिवर्तनबारे छलफल सुरु ,0,0,0,0
137,स्थानीय तहको विवरण: वैदेशिक रोजगारीमा ठगी बढेको भन्दै परिवार चिन्तामा ,0,0,1,0
138,सरकारले आलोचनालाई बेवास्ता गर्दै योजना अघि बढाएको आरोप ,1,0,1,0
139,"पछिल्लो घटनाक्रम: आज सार्वजनिक जानकारीअनुसार, सौर्य ऊर्जा परियोजनाबाट विद्यालयमा नियमित विद्युत् सेवा",0,0,0,0
140,युवा पुस्ता मेहनत गर्नै नचाहने टिप्पणीप्रति आलोचना,0,0,1,0
141,"नयाँ तथ्य सार्वजनिक: स्थानीय विवरणअनुसार, सरकारले खेल पूर्वाधारका लागि बजेट बढायो",0,0,0,0
142,"घटनापछि, पर्यटन पूर्वाधार कमजोर भएको व्यवसायीको असन्तुष्टि",0,0,1,1
143,"अनुगमनको क्रममा घटनापछि, युवा कलाकारलाई अवसर नदिएको भन्दै आयोजकमाथि प्रश्न",0,0,1,0
144,"स्थानीय तहको विवरण: बैठकपछि, नयाँ एम्बुलेन्स थपिएपछि आकस्मिक सेवा सहज हुने अपेक्षा",0,0,0,0
145,"अनुगमनपछि, हवाई भाडा बढेपछि यात्रु विकल्प खोज्दै",0,0,0,0
146,"स्थानीय विवरणअनुसार, अस्पतालले मुटु उपचारका लागि नयाँ उपकरण जडान गर्‍यो",0,0,0,0
147,ग्रामीण समुदाय को व्यवहारलाई संसद् बैठक सँग जोडेर गरिएको टिप्पणी विवादमा,0,0,0,0
148,"घटनाक्रममा पछिल्लो विवरणअनुसार, परीक्षा नतिजा कमजोर आएपछि विद्यालयले अतिरिक्त कक्षा सुरु गर्‍यो",0,0,0,0
149,"सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए, कार्यान्वयनका लागि कार्यदल गठन",0,0,0,0
150,घटनाक्रममा मन्त्रीले नयाँ स्वास्थ्य कार्यक्रमलाई महत्वपूर्ण उपलब्धि भएको दाबी गरे ,0,0,0,0
151,"यसैबीच, शहरको मुख्य सडकमा पानी जम्दा आवागमन प्रभावित ",0,0,0,0
152,घटनाक्रममा विद्यार्थीहरू पढाइमा गम्भीर नहुने भन्दै आलोचना ,0,0,1,0
153,घोषणापछि कर नीति भन्दै आलोचकको प्रतिक्रिया,0,0,1,0
154,कृषि अनुदान वितरणमा पारदर्शिता माग : सरोकारवालासँग परामर्श जारी,0,0,0,0
155,"यसैबीच, आज सार्वजनिक विवरणमा, लामो समय विद्युत् अवरुद्ध हुँदा उद्योगमा करोडौँको क्षति भएको दाबी",0,0,0,0
156,पछिल्लो घटनामा धारामा पानी नआएपछि स्थानीय महिलाले विरोध जनाए ,0,0,1,0
157,अनुगमनको क्रममा मौसम पूर्वानुमान प्रणाली सुधार्न सरकारी योजना ,0,0,0,0
158,"स्थानीय तहमा घटनापछि, खानेपानी आयोजना वर्षौँदेखि अलपत्र परेको स्थानीयको असन्तुष्टि,",0,0,1,0
159,"नयाँ निर्णयसँगै, यात्रामा महिलाले असुरक्षित महसुस गर्ने गरेको सर्वेक्षण",0,0,0,1
160,नयाँ विवरणअनुसार पर्यटन अभियान भन्दै आलोचकको प्रतिक्रिया,0,0,1,0
161,घटनाक्रममा अचानक आएको भूकम्पले पुराना घरमा ठूलो क्षति ,0,1,0,0
162,निर्णयपछि युवा कलाकारलाई अवसर नदिएको बताउँदै आयोजकमाथि प्रश्न ,0,0,0,0
163,"घटनाक्रममा घटनापछि, सरकारले ज्येष्ठ नागरिक भत्ता समायोजन गर्ने तयारी",0,0,0,0
164,महिलाले नेतृत्व गर्न नसक्ने पुरानो धारणामाथि बहस — आजको अपडेट,0,0,0,0
165,"नयाँ तथ्य सार्वजनिक: नयाँ निर्णयसँगै, नयाँ एम्बुलेन्स थपिएपछि आकस्मिक सेवा सहज हुने अपेक्षा",0,0,0,0
166,घटनाक्रममा सरकारले वैदेशिक रोजगारीमा जाने कामदारका लागि नयाँ व्यवस्था गर्‍यो,0,0,0,0
167,निर्णयपछि विपद् व्यवस्थापनमा सरकारको तयारी कमजोर भएको आरोप ,1,0,1,0
168,"छलफलपछि, नयाँ संग्रहालय खुलेपछि सांस्कृतिक पर्यटनमा आशा",0,0,0,0
169,कर बढेपछि उद्योगीले सरकारी नीतिप्रति असन्तुष्टि जनाए ,1,0,1,0
170,"अनुगमनपछि, सडक विस्तारले वन क्षेत्रमा असर पर्ने वातावरणविद्को चेतावनी",0,0,0,0
171,"अनुगमनको क्रममा बैठकपछि, वन फँडानी रोक्न स्थानीय समूह सक्रिय",0,0,0,0
172,नयाँ तथ्य सार्वजनिक: कामदारमाथि अन्याय भएको भन्दै उद्योग अगाडि प्रदर्शन ,0,0,1,0
173,"नयाँ निर्णयसँगै, अनलाइन ठगी बढेपछि ग्राहकमा ठूलो त्रास",0,1,0,0
174,"स्थानीय विवरणअनुसार, नगरपालिकाले खानेपानी पाइप विस्तारको काम अघि बढायो",0,0,0,0
175,स्थानीय तहको विवरण: असिनाले फलफूलमा ठूलो क्षति पुर्‍याएपछि किसान निराश ,0,0,0,0
176,नयाँ तथ्य सार्वजनिक: सरकारले कृषि उपजको न्यूनतम समर्थन मूल्य तोक्यो ,0,0,0,0
177,"यसैबीच, उपभोक्ताले गुणस्तरहीन सामान बिक्री भइरहेको असन्तुष्टि गरे",0,0,1,0
178,"यसैबीच, मन्त्रीको निर्णयलाई समर्थकहरूले विकासको महत्वपूर्ण कदम भने ",0,0,0,0
179,"यसैबीच, आयोजना निर्माणमा ढिलाइ हुँदा लागत बढ्ने चिन्ता ",0,0,0,0
180,पछिल्लो घटनामा भूकम्पको धक्काले पुराना भवनमा ठूलो क्षति ,0,0,0,0
181,"यसैबीच, सिँचाइ सुविधा पुगेपछि बाँझो जमिनमा खेती सुरु ",0,0,0,0
182,कारखाना बन्द हुँदा मजदुर परिवारको आम्दानी रोकियो,0,0,0,0
183,औद्योगिक विकासको योजना असफल भए अर्थतन्त्रमा ठूलो असर पर्ने चेतावनी,0,0,0,0
184,"घटनापछि, बालीमा रोग फैलिएपछि किसान चिन्तामा",0,0,0,0
185,सिँचाइ आयोजना सम्पन्न गर्न स्थानीयले दबाब दिए; सम्बन्धमा थप छलफल सुरु,0,0,0,0
186,"घटनाक्रममा सम्बन्धित निकायका अनुसार, विद्युत् लाइन विस्तारपछि नयाँ बस्तीमा बिजुली पुग्यो",0,0,0,0
187,चाडपर्वमा सुरक्षा व्यवस्था कडा पारियो ,0,0,0,0
188,"नयाँ तथ्य सार्वजनिक: छलफलपछि, अधिकारकर्मीले समावेशी नीति कार्यान्वयन कमजोर भएको बताए",0,0,1,0
189,"अनुगमनपछि, विश्वविद्यालयले अनुसन्धान अनुदानको नयाँ मापदण्ड ल्यायो",0,0,0,0
190,"अनुगमनपछि, सरकारले सामाजिक सुरक्षा भत्ता समायोजन गर्ने तयारी",0,0,0,0
191,"स्थानीय तहको विवरण: आज सार्वजनिक जानकारीअनुसार, अधिकारकर्मीले समावेशी नीति कार्यान्वयन कमजोर भएको बताए",0,0,1,0
192,नागरिक ले सरकारी योजनामा सुधार गर्न माग गरे,0,0,0,0
193,किसानले उत्पादनको उचित मूल्य मागे; आगामी चरणमा समीक्षा गरिने,0,0,0,0
194,कृषि बजारमा बिचौलियाको प्रभावबारे किसानको गुनासो; आगामी चरणमा समीक्षा गरिने,0,0,0,0
195,"नयाँ निर्णयसँगै, किसानले उचित मूल्य नपाएको बताउँदै बजारमा विरोध गरे",0,0,1,0
196,"यसैबीच, पछिल्लो विवरणअनुसार, कलाकारलाई आलोचना सहन नसक्ने बताउँदै सामाजिक सञ्जालमा टिप्पणी",0,0,1,0
197,घोषणापछि संसद् बैठक बारे सरोकारवालाको चासो,0,0,0,0
198,"कृषि अनुदान वितरणमा पारदर्शिता माग, सरोकारवालासँग परामर्श जारी",0,0,0,0
199,"सम्बन्धित निकायका अनुसार, विद्यार्थीहरू अनुशासनहीन बन्दै गएको टिप्पणी विवादमा",0,0,0,1
200,निर्णयपछि महँगो उपचारका कारण परिवार ऋणमा डुबेको स्थानीयको असन्तुष्टि ,0,0,1,0
201,केन्द्रीय बैंकले मौद्रिक नीतिको समीक्षा सार्वजनिक गर्‍यो,0,0,0,0
202,कर्मचारीहरू लाई कृषि कार्यक्रम को मुख्य जिम्मेवार पक्षका रूपमा चित्रण,0,0,1,0
203,अर्थतन्त्र क्षेत्रमा पारदर्शिता माग्दै नागरिक समाजको आग्रह,0,0,0,0
204,पछिल्लो घटनाक्रम: हिमाली क्षेत्रमा मौसम बिग्रिँदा पदयात्री अलपत्र ,0,0,0,0
205,पछिल्लो घटनाक्रम: उद्योग क्षेत्रमा लगानी बढेपछि व्यवसायी उत्साहित ,0,0,0,0
206,"पछिल्लो घटनामा स्थानीय स्रोतका अनुसार, स्वास्थ्यकर्मीमाथि दुर्व्यवहार बढेको भन्दै सुरक्षा माग",0,0,1,0
207,अनलाइन सञ्जालमार्फत ठगी गर्ने गिरोहका नाइके प्रहरीको फन्दामा,0,0,0,1
208,नयाँ तथ्य सार्वजनिक: पहाडी क्षेत्रमा जथाभावी सडक खन्दा पहिरोको जोखिम ,0,0,0,0
209,"पछिल्लो घटनामा नयाँ निर्णयसँगै, वृद्ध बिरामीलाई उपचारमा पहुँच नहुने पुरानो समस्या दोहोरियो",0,0,0,0
210,अनुगमनको क्रममा कलेज शुल्क बढेपछि विद्यार्थी संगठन आन्दोलनमा ,0,0,0,0
211,"सत्ता गठबन्धनभित्र आन्तरिक कलह चुलियो, मन्त्री फेर्ने तयारी",0,1,0,0
212,"नयाँ तथ्य सार्वजनिक: आज सार्वजनिक विवरणमा, सडकमा एकपछि अर्को दुर्घटनाले यात्रुमा त्रास",0,1,0,0
213,"सरकारले नयाँ कृषि नीति कार्यान्वयन गर्ने तयारी, आगामी चरणमा समीक्षा गरिने को तयारी",0,0,0,0
214,विपक्षी दलले सरकारको आर्थिक नीतिमाथि प्रश्न उठायो,0,0,0,0
215,नयाँ तथ्य सार्वजनिक: मल नपाएपछि किसानले खेती नै रोक्नुपर्ने अवस्था आएको जनाए ,0,0,0,0
